Key,Value,Original
220219355,Галлоброн,Gallobrone
220242523,"Таверна ""Воющий Дикобраз""",The Howling Porcupine Tavern
220244197,Фруктовый Сад Кингинг,Kinging Orchard
220277179,Старая Лачуга Хоксли,The Old Hawksly Hovel
220280564,Цитадель Виктон,The Citadel of Wickton
220301352,Особняк Гринслей,Greensley Manor
220311402,Дворец Мурфорд,Moorford Palace
220314157,Башня Хартсли,The Tower of Hearthsley
220342303,Особняк Букингстон,Buckingston Manor
220360224,Дирворт,Deerworth
220397286,Фонттон,Fontton
220412830,Кроссбери,Crossbury
220417751,Честербра,Chesterbrugh
220501683,Дворец Грарт,Grart Palace
220527875,Холл Фаузта,Fauzta Hall
220538769,Кудиридакс,Cudiridax
220550441,"Паб ""Воющий Кинжал""",The Howling Dagger Pub
220572643,Умбаста-Иж,Umbasta-Ij
220583318,Макемига,Makemiga
220661236,Страшный Оракул Стендарра,Fearful Oracle of Stendarr
220672800,Хотуниа,Hotunia
220697153,Холл Слортон,Slorton Hall
221265198,Руины Двора Гринвинг,Ruins of Greenwing Court
221267937,Хижина Эшсмит,The Ashsmith Cabin
221291104,Ферма Старой Ваннисы,Old Vannyssa's Farm
221292780,Крепость Мастерхарт,The Stronghold of Masterhart
221325784,Погост Букингинг,The Buckinging Graveyard
221329150,Дворец Йеомхам,Yeomham Palace
221349949,Старая Лачуга Вудкрофт,The Old Woodcroft Shack
221360008,Крепость Кингхауса,The Stronghold of Kinghouse
221362753,Руины Хижины Мастерсли,Ruins of The Mastersley Cabin
221390883,Дирвих,Deerwych
221408805,Скала Чартаун,Chartown Rock
221445866,Кладбище Эшсмит,The Ashsmith Graveyard
221461408,Крепость Хартсмит,The Fortress of Hearthsmith
221550261,Бонидису,Bonidisu
221576454,Подземелье Магнехота,The Vault of Magnehoth
221587357,Руины Лачуги Старой Тлелдти,Ruins of Old Tleldta's Hovel
221599050,Холд Четара,Chethar's Hold
221622164,Лачуга Старая Клилта,The Old Klillta Hovel
221631903,Ахаакби,Akhaaqbi
221709922,Плантация Ф'исун,The F'isun Plantation
221721385,Священный Восход Мары,Holy Sunrise of Mara
221745731,Плантация Мауркен,The Maurken Plantation
222313857,Баэлтауэр,Baeltower
222316533,Фонтхам,Fontham
222339685,Извечное Вознесение Джулианоса,Perpetual Ascencion of Julianos
222341380,Усадьба Гринвинг,The Greenwing Farmstead
222374375,Руины Замка Йеомфорд,Ruins of Castle Yeomford
222377739,Руины Усадьбы Викстон,Ruins of The Wickston Farmstead
222399466,Приходской Дом Джубула,The Jubula Manse
222409524,Дворец Викфилд,Wickfield Palace
222412274,Святилище Джоуд,Jode Shrine
222439463,Дирбра,Deerbrugh
222457391,Старое Жилище Хокинг,The Old Hawking Place
222494447,Холл Мурсмит,Moorsmith Hall
222509986,Кросстейл,Crosstale
222598840,Башня Казтен,Tower Kazten
222625035,Кровоточащий Свет Стендарра,Bleeding Light of Stendarr
222635936,Цитадель Флажум,The Citadel of Flajum
222647633,Жилище Старой Т'олфа,Old T'olptha's Place
222670759,Лачуга Старый Дирпам,The Old Dhirpam Hovel
222680497,Тулаэми-Ком,Tulaemi-Kom
222759570,Руины Сада Саутхур,Ruins of Saughtur Orchard
222770009,Дом Некромогона,The House of Necromoghon
222794312,Благословенный Пророк Джулианоса,Blessed Prophet of Julianos
223362447,Крепость Вудхэм,The Fortress of Woodham
223365111,Особняк Викфилд,Wickfield Manor
223389183,Цитадель Копперфильд,The Citadel of Copperfield
223390821,"Сторожка ""Рысь и Подземелье""",The Lynx and Dungeon Lodge
223422957,Жилище Старой Гвинаусы,Old Gwynausa's Place
223426330,Чаренмот,Charenmoth
223448068,Хижина Мастерфорд,The Masterford Cabin
223458105,Усадьба Хокхарт,The Hawkhart Farmstead
223460866,Алдингтон,Aldington
223488041,Святилище Вигрила,Shrine of Vigryl
223505971,Пенброн,Penbrone
223544009,Холл Вудсмит,Woodsmith Hall
223558587,Особняк Хокрофт,Hawkcroft Manor
223647442,Бербахариа,Berbaharia
223673618,Плачущий Провидец Стендарра,Weeping Seer of Stendarr
223684515,Холл Глосун,Glosun Hall
223696279,Тасастадакс,Tasastadax
223719376,Жилище Старого Ларгка,Old Largca's Place
223729099,Ферма Старой Т'уктты,Old T'uctta's Farm
223808184,Амбар Блармир,Blarmir Grange
223818588,Могилы Шура,The Graves of Shur
223843833,Усадьба Корт,The Cort Farmstead
224411033,Усадьба Бакингслей,The Buckingsley Farmstead
224413694,Вечное Дерево Мары,Eternal Tree of Mara
224437762,"Таверна ""Лиса и Грифон""",The Fox and Griffin Inn
224439400,Кладбище Хартсли,The Hearthsly Graveyard
224471546,Кладбище Копперхэм,The Copperham Cemetery
224475827,Окстрай Боро,Oxtry Borough
224496663,Вечный Оракул Джулианоса,Eternal Oracle of Julianos
224506691,Трисеррат,Tricerrath
224509474,Синглей,Singleigh
224536620,Ферма Старой Ваннанны,Old Vannanna's Farm
224555377,Особняк Херттон,Hearthton Manor
224592592,Руины Башни Йеомсли,Ruins of Tower Yeomsley
224607185,Мидуолл Боро,Midwall Borough
224696024,Храм Сахиблонаха,The Temple of Sahiblonah
224722201,Карьер Греврн,The Grevrn Pit
224733099,Лемизия,Lemisia
224745738,Макаджа,Makaja
224767955,Жилище Старого Флази,Old Flasi's Place
224777690,Замок Шой,Castle Shoj
224856764,Джалакаплекс,Jalakaplex
224892411,Особняк Т'олд,T'old Manor
225459674,Пещера Балоргона,The Cave of Balorgon
225462280,Фонтволл,Fontwall
225486340,"Хостел ""Бобр и Меч""",The Beaver and Sword Hostel
225488021,Ньюворт,Newworth
225520127,Холл Йеомсли,Yeomsly Hall
225524419,Карьер Алабистыр,The Alabistyr Pit
225545242,Раскопки Бедын,The Bedyn Excavation
225555274,Баэлбридж Боро,Baelbridge Borough
225558055,Особняк Гаерхарт,Gaerhart Manor
225585210,Амбар Мастертон,Masterton Grange
225603966,Скала Истфорт,Eastfort Rock
225642153,Особняк Мастерстон,Masterston Manor
225655770,Крепость Харткрофт,The Fortress of Hearthcroft
225744603,Жалжиара,Jaljiara
225770783,Особняк Дорнем,Dornem Manor
225781679,"Сторожка ""Мертвый Кинжал""",The Dead Dagger Lodge
225794317,Крепость Влист,The Stronghold of Vlist
225816546,"Таверна ""Дьявольский Волк""",The Devil's Wolf Tavern
225826282,Тулауус,Tulauus
225906201,Руины Холда Шэг,Ruins of The Hold of Shag
225941010,Элии-Кором,Elii-Korom
226508282,Руины Хижины Хартвинг,Ruins of The Hearthwing Cabin
226510858,Ванхам,Vanham
226534926,Бесконечный Идол Джулианоса,Infinite Idol of Julianos
226536599,"Паб ""Белая Собака""",The White Dog Pub
226568706,Усадьба Ашвинг,The Ashwing Farmstead
226573004,Фруктовый Сад Вудинг,Wooding Orchard
226594775,Плантация Букингхарт,The Buckinghart Plantation
226603883,Плантация Копперфорд,The Copperford Plantation
226606641,Усадьба Гаеркрофт,The Gaercroft Farmstead
226633838,Холл Мурэм,Moorham Hall
226652559,Дворец Кингинг,Kinging Palace
226690748,Башни Мастерслей,Tower Mastersley
226704357,Хорсестер Хилл,Horcester Hill
226793181,Могильник Стуз,The Stuz Burial Ground
226819362,Кудаскуара,Cudascuara
226830264,Поющее Дерево Зенитара,Singing Tree of Zenithar
226842925,Кровоточащий Идол Дибеллы,Bleeding Idol of Dibella
226866112,Бесконечная Душа Аркея,Infinite Soul of Arkay
226875777,Лачуга Старой Каорнтхи,Old Caorntha's Hovel
226954808,Лачуга Старый Нафилам,The Old Nafylam Shack
226989591,Пристанище Штреннера,Strenner Haven
227556876,Руины Замка Хартхаус,Ruins of Castle Hearthhouse
227560276,Усадьба Кингинг,The Kinging Farmstead
227583526,"Таверна ""Серебряное Подземелье""",The Silver Dungeon Tavern
227585193,Грейли,Grayley
227617287,Фруктовый Сад Аштон,Ashton Orchard
227621586,Алтарь И'рика,Altar of I'ric
227643357,Усадьба Бакингкрофт,The Buckingcroft Farmstead
227652473,Особняк Букингфилд,Buckingfield Manor
227656133,Лаборатория Андынак,Andynak Laboratory
227682422,Апвик Энд,Upwick End
227701137,Аркмот,Arkmoth
227739327,Холл Муртон,Moorton Hall
227752947,Особняк Йеомслей,Yeomsley Manor
227842662,Седогуния,Sedogunia
227867973,Бубиину,Bubiinu
227878843,Крепость Грер,The Stronghold of Grer
227891533,Амбар Рхиш,Rhish Grange
227914703,Фруктовый Сад Стафилан,Stafylan Orchard
227924361,Холд Гхижом,The Hold of Ghijom
228004335,Извечная Душа Стендарра,Perpetual Soul of Stendarr
228038177,Усадьба Дутх,The Duth Farmstead
228605479,Усадьба Мастерхарт,The Masterhart Farmstead
228608870,Сад Ньюмонт,Newmont Garden
228632105,Амбар Вудслей,Woodsley Grange
228633796,Усадьба Букингинг,The Buckinging Farmstead
228665869,Руины Замка Виксли,Ruins of Castle Wicksley
228670176,Усадьба Йеомарт,The Yeomhart Farmstead
228691952,Шахты Родиктор,The Rodyctor Mines
228702032,Мидидж,Mididge
228704711,Кладбище Гэрхем,The Gaerham Cemetery
228731022,Фруктовый Сад Кингхаус,Kinghouse Orchard
228749718,Усадьба Гринфорд,The Greenford Farmstead
228788888,Усадьба Букингхарт,The Buckinghart Farmstead
228802431,Ванвей,Vanway
228891261,"Хостел ""Жаба и Егерь""",The Toad and Huntsman Hostel
228917473,Алтарь И'рика,Altar of I'ric
228927424,Лирино,Lyryno
228940111,Кладбище Дхугтом,The Dhughtom Graveyard
228963299,Двор Маустта,Maustta Court
228972944,"Таверна ""Красный Великан""",The Red Giant Tavern
229053016,Сеть Грипбит,The Gripbith Web
229086774,Умбаус,Umbaus
229654076,Фруктовый Сад Мастеркрофт,Mastercroft Orchard
229657459,Извечная Реликвия Мары,Perpetual Relic of Mara
229680691,Старое Жилище Копперсли,The Old Coppersly Place
229682391,Грейшир,Grayshire
229714448,Особняк Виккрофт,Wickcroft Manor
229718756,"Корчма ""Крот и Собака""",The Mole and Dog Inn
229740548,Лачуга Старой Лисанны,Old Lysanna's Shack
229752574,Благословенное Возрождение Стендарра,Blessed Rebirth of Stendarr
229753293,Руины Особняка Бакингсмит,Ruins of Buckingsmith Manor
229779602,Хибара Старой Элизанны,Old Elyzanna's Hovel
229798298,Священное Знамение Кинарет,Sacred Omen of Kynareth
229838455,Башня Йеомфилд,Tower Yeomfield
229851012,Трогкер,Trogker
229939852,Цитадель Норхтур,The Citadel of Norhtur
229966069,Дворец Глирим,Glirim Palace
229976012,Гнездо Ягдона,The Nest of Yagdon
229988696,"Сторожка ""Несчастный Варвар""",The Unfortunate Barbarian Lodge
230012756,Сириидису,Syriidisu
230021533,"Паб ""Мышь и Птица""",The Mouse and Bird Pub
230101594,Месопада,Mesopada
230135354,Башня Бечур,Bechur Tower
230703436,Гробницы Мастерхарт,The Tombs of Masterhart
230706058,Арквуд,Arkwood
230729279,Алтарь И'рика,Altar of I'ric
230730985,Плантация Букингхарт,The Buckinghart Plantation
230763039,Рейкрофт,Reycroft
230767349,Ньювич,Newwych
230790072,Усадьба Виксмит,The Wicksmith Farmstead
230801156,Ферма Старой Ваннанны,Old Vannanna's Farm
230801872,Жилище Старой Морганны,Old Morganna's Place
230828182,Могилы Эшкрофта,The Graves of Ashcroft
230846876,"Таверна ""Летучая Мышь и Грифон""",The Bat and Griffin Inn
230887052,"Таверна ""Мертвая Ондатра""",The Dead Muskrat Tavern
230899598,Холброн,Holbrone
230988451,Святилище Демулены,The Shrine of Demulena
231014673,Лачуга Старой С'оркки,Old C'orcki's Hovel
231024617,Замок Ф'угтом,Castle F'ughtom
231037293,Макырыла,Makyryla
231061403,Лачуга Старый Глорха,The Old Glorch Hovel
231070111,Хориа,Horia
231152074,Особняк Тогем,Togem Manor
231184859,Усадьба Бильдта,The Bildta Farmstead
231752036,Горящий Оракул Кинарет,Burning Oracle of Kynareth
231754636,Арктаун,Arktown
231777866,"Паб ""Зеленый Ёж""",The Green Hedgehog Pub
231780420,Бургкарт Хит,Burgcart Heath
231811627,Окстауэр,Oxtower
231815931,Холл Викинг,Wicking Hall
231838664,Деревня Уптри,Uptry Hamlet
231849759,Амбар Мастертон,Masterton Grange
231850456,Усадьба Хокфорд,The Hawkford Farmstead
231876771,Ферма Старой Выктин,Old Vyctyn's Farm
231895458,Грейтаун,Graytown
231936622,Амбар Муркрофт,Moorcroft Grange
231948180,Амбар Эшслей,Ashsley Grange
232037036,Гнездо Грумругот,The Grumrugoth Nest
232063275,Рогиссиния,Rhogissinia
232073196,Загандавейн,Zagandaweyn
232085872,Руины Цитадели Серкрн,Ruins of The Citadel of Cerkrn
232110005,Руины Усадьбы Цирх,Ruins of The Circh Farmstead
232118692,Жилище Старика Бактфа,Old Bactfa's Place
232200795,Руины Двора К'орка,Ruins of C'orc Court
232233437,Цитадель Гроргер,The Citadel of Grorger
232800684,Руины Башни Кингстон,Ruins of Tower Kingston
232803218,Замок Викхаус,Castle Wickhouse
232826448,Плантация Ашам,The Ashham Plantation
232828998,Гриммот,Grimmoth
232860210,"Таверна ""Лиса и Череп""",The Fox and Skull Tavern
232865430,Погост Кингинг,The Kinging Graveyard
232887243,"Таверна ""Свинья и Сурок""",The Pig and Woodchuck Inn
232898373,Крепость Мастерхэм,The Stronghold of Masterham
232899036,Усадьба Йеомвинг,The Yeomwing Farmstead
232925358,Амбар Гаерстон,Gaerston Grange
232944052,Жилище Старой Элории,Old Elorya's Place
232986202,Сторожевая Башня Копперсли,Coppersley's Guard
232996764,Броаддейл,Broaddale
233085630,Холл Вларнум,Vlarnum Hall
233112751,"Таверна ""Перо и Гоблин""",The Feather and Goblin Tavern
233121774,Руины Плантации В'устте,Ruins of The V'ustte Plantation
233135342,Старая Лачуга Харцур,The Old Kharcur Shack
233159493,Руины Дворца Красте,Ruins of Kruste Palace
233167272,Холл Слорнум,Slornum Hall
233250323,Руины Особняка Баерд'керн,Ruins of Baerd'kern Manor
233282022,Фруктовый Сад Мирпун,Mirpun Orchard
233849262,Лачуга Старой Барбивиры,Old Barbyvyra's Shack
233851803,Вайлдеркасл,Wildercastle
233875026,Усадьба Эшинг,The Ashing Farmstead
233877578,Фруктовый Сад Эшсмит,Ashsmith Orchard
233909641,Апброн,Upbrone
233914025,Особняк Хокфилд,Hawkfield Manor
233935824,Крипты Мастерсли,THe Crypts of Mastersley
233946952,Усадьба Хартинг,The Hearthing Farmstead
233947634,Фруктовый Сад Вудкрофт,Woodcroft Orchard
233973937,Ванбруг,Vanbrugh
233992630,Готуэй,Gothway
234034781,Алдбругх,Aldbrugh
234045372,Особняк Мастеринг,Mastering Manor
234134217,Старая Лачуга Рларгим,The Old Rlargim Shack
234161377,Бербераплех,Berberaplex
234170352,Алтарь И'рика,Altar of I'ric
234183927,Хумба-Ком,Humba-Kom
234208431,Особняк Д'ирнке,D'irnke Manor
234215850,Двор Блот,Bloth Court
234299737,Благословенная Душа Стендарра,Blessed Soul of Stendarr
234330601,Усадьба Шотхин,The Shothin Farmstead
234897852,Плантация Ашвинг,The Ashwing Plantation
234900399,Двор Уайлдерхам,Wilderham Court
234923610,Особняк Викфилд,Wickfield Manor
234926179,Гролеркер,Grolerker
234958220,Башни Гринвинг,Tower Greenwing
234962629,Жилище Старой Гвинабит,Old Gwynabyth's Place
234984411,Хижина Копперсли,The Coppersly Cabin
234996237,"Таверна ""Летающий Карьер""",The Flying Pit Inn
234996441,Вермангон,Vermangon
235022516,Особняк Мастерфорд,Masterford Manor
235041208,"Паб ""Подземелье Короля""",The King's Dungeon Pub
235084334,Двор Мурсмит,Moorsmith Court
235093951,Вестволл Хит,Westwall Heath
235183686,Иссакуплекс,Issaquplex
235209970,Особняк Миртом,Mirtom Manor
235218938,Загыры-Тар,Zagyry-Thar
235232544,Крепость Нхурхтон,The Stronghold of Nhurhton
235257680,Лачуга Старый Мерктен,The Old Merkten Shack
235264428,Эрмитаж Маэлота,The Maelotha Hermitage
235348344,Холл Блит,Blith Hall
235379181,Рамаллаби,Ramallabi
235946453,"Сторожка ""Перо и Дракон""",The Feather and Dragon Lodge
235948977,Цитадель Йеомхам,The Citadel of Yeomham
235973089,Фонтаун,Fonttown
235974758,"Хостел ""Летучая Мышь и Скорпион""",The Bat and Scorpion Hostel
236006804,Руины Башни Вудхэм,Ruins of Woodham Tower
236011218,Бургбра,Burgbrugh
236033946,Сингшир,Singshire
236044827,Найтскрофт,Knightscroft
236045019,Священное Вознесение Стендарра,Sacred Ascencion of Stendarr
236071110,"Сторожка ""Воющий Джинн""",The Howling Djinn Lodge
236089811,Усадьба Кингинг,The Kinging Farmstead
236132915,"Таверна ""Перо и Череп""",The Feather and Skull Tavern
236142543,Святилище Банди,Shrine of Bandi
236232267,Рханинджер,Rhaninjer
236258562,Гробница Балтимуса,Balthimus's Tomb
236268337,Руины Усадьбы Тлорнтен,Ruins of The Tlornten Farmstead
236281163,Антелаакара,Antelaaqara
236306258,Святилище Вигрила,Shrine of Vigryl
236313008,Могакаа,Mogakaa
236397881,Лачуга Старый Дхергрн,The Old Dhergrn Hovel
236427761,Рамопария,Ramoparia
236995033,Старая Лачуга Викслей,The Old Wicksley Shack
236997583,Тамкасл,Tamcastle
237021668,Ипсвуд,Ipswood
237023362,"Сторожка ""Летучая Мышь и Дикобраз""",The Bat and Porcupine Lodge
237055384,Община Стокмаркет,Stokmarket Commons
237059796,Усадьба Йеомсмит,The Yeomsmith Farmstead
237082541,Мердейл,Merdale
237093597,Плантация Викфилд,The Wickfield Plantation
237094333,Деревня Сингтауэр,Singtower Hamlet
237120516,Аркдейл,Arkdale
237138390,Старое Жилище Кингстон,The Old Kingston Place
237182500,Усадьба Вудстон,The Woodston Farmstead
237191123,Старая Хибара Муркрофт,The Old Moorcroft Hovel
237280851,Дом Исправления Хеллун,The Khellun House of Correction
237307141,Святилище Дугрода,Shrine of Dugrod
237316919,Кладбище Маурхтум,The Maurhtum Graveyard
237330664,Умбунья,Umbunia
237354891,Цетуарет,Tsetoaret
237361590,Амбар Грулдан,Gruldan Grange
237446494,Холл Лет,Lheth Hall
237476365,Кладбище Чуджам,The Chujam Graveyard
238043679,Скобит,Skobith
238046163,Холд Муртон,The Hold of Moorton
238070297,Двор Йеомстон,Yeomston Court
238071993,Собрание Гвинона,The Convocation of Gwynona
238103974,Укрытие Фена,Shelter of Phen
238108402,Сад Гримтри,Grimtry Garden
238131137,Холд Аштона,Ashton's Hold
238142213,Холд Херттона,Hearthton's Hold
238142957,Сингфорт,Singfort
238169124,Страшный Провидец Мары,Fearful Seer of Mara
238186976,Крепость Ашам,The Fortress of Ashham
238232067,Ньюфорт Энд,Newfort End
238239703,Особняк Копперхаус,Copperhouse Manor
238329437,Безмолвный Мученик Джулианоса,Silent Martyr of Julianos
238355722,"Сторожка ""Грязная Кружка""",The Dirty Mug Lodge
238365498,Усадьба Грурч,The Grurch Farmstead
238379258,Руины Фермы Старой Раолп-е,Ruins of Old Raolp-e's Farm
238403731,Жилище Старый Нактан,The Old Nactan Place
238410170,Холл С'укт,C'uct Hall
238495080,"Хостел ""Мышь и Коза""",The Mouse and Goat Hostel
238524945,Холд Досум,The Hold of Dosum
239092262,Честертри,Chestertry
239094741,Храм Балинксиа,The Temple of Balinxiah
239118883,Особняк Йеомарт,Yeomhart Manor
239120597,Сеть Дагиррок,The Dagirrock Web
239152554,Руины Усадьбы Муринг,Ruins of The Mooring Farmstead
239157908,Кромдейл,Cromdale
239179729,Замок Ашхарт,Castle Ashhart
239190801,Погост Виккрофт,The Wickcroft Graveyard
239191537,Особняк Гринстон,Greenston Manor
239217704,Крипта Графа Владобама,The Crypt of Count Vladobam
239235559,Особняк Хокрофт,Hawkcroft Manor
239283638,Хижина Вудинг,The Wooding Cabin
239288286,Честерволл,Chesterwall
239378030,Ахотон,Akhoton
239404303,Святилище Маи,Shrine of Mai
239414112,Багхила,Baghila
239427845,"Таверна ""Золотой Плут""",The Gold Rascal Inn
239452315,Жилище Старый Гергем,The Old Ghergem Place
239458762,Могииса,Mogiisa
239543676,Крепость Мердуна,The Stronghold of Merdun
239573523,Реликварий Сай,Reliquary of Sai
240140841,Подземелье Мастерсмит,The Mastersmith Vaults
240144201,Хормот,Hormoth
240167461,"Хостел ""Лиса и Грифон""",The Fox and Griffin Hostel
240170119,Двор Гаерсли,Gaersly Court
240201138,Могилы Уикхема,The Graves of Wickham
240206490,Руины Хижины Эшсли,Ruins of The Ashsley Cabin
240228309,Радостная Душа Джулианоса,Joyous Soul of Julianos
240239400,Бургвих,Burgwych
240240119,Особняк Гринхарт,Greenhart Manor
240266285,Сеть Ангота,The Web of Angoth
240284157,Монумент Мудреца,Sage Monument
240332220,"Таверна ""Зеленый Егерь""",The Green Huntsman Tavern
240337740,Ньюбет,Newbeth
240426610,Дом Исправления Т'агхт,The T'aght House of Correction
240453781,"Таверна ""Лжец и Меч""",The Knave and Sword Tavern
240462691,Рханака-Кором,Rhanaka-Korom
240476426,"Таверна ""Танцующий Барсук""",The Dancing Badger Inn
240501518,Бесконечный Пророк Аркея,Infinite Prophet of Arkay
240507343,Умбаакван,Umbaaqwan
240592287,Крипта Небуханона,The Crypt of Nebuchanon
240622102,Хаджераара,Khajeraara
241189419,Лонглеч,Longlech
241192779,Замок Вудслей,Castle Woodsley
241216042,Холл Хартсли,Hearthsly Hall
241218698,Монумент Дивад,Divad Monument
241249733,Найтсволл,Knightswall
241255074,Руины Хижины Виксли,Ruins of The Wicksly Cabin
241277831,Усадьба Хартсли,The Hearthsly Farmstead
241287979,Кроссвих,Crosswych
241289612,Фонтинг,Fonting
241314865,Арквич,Arkwich
241332737,Кладбище Эшхаус,The Ashhouse Graveyard
241380799,Двор Букингхарт,Buckinghart Court
241386320,Гнездо Дагубита,The Nest of Dagubith
241475208,Особняк Флоркте,Florkte Manor
241502369,Старая Лачуга Тлархтур,The Old Tlarhtur Shack
241511270,Усадьба Рхистке,The Rhistke Farmstead
241525016,Вадиджутхуа,Wadijuthua
241550101,Лачуга Старого Шульдки,Old Shuldki's Hovel
241555924,Поющий Искупитель Аркея,Singing Redeemer of Arkay
241641772,Амбар Хатх,Khath Grange
241670681,"Таверна ""Бобр и Дикобраз""",The Beaver and Porcupine Tavern
242237998,Плантация Бакингсмит,The Buckingsmith Plantation
242241364,Усадьба Букингфилд,The Buckingfield Farmstead
242264620,Гробница Морхулона,Morehulon's Tomb
242267288,"Хостел ""Крот и Сурок""",The Mole and Woodchuck Hostel
242298313,Руины Башни Йеомкрофт,Ruins of Tower Yeomcroft
242303652,"Сторожка ""Несчастная Фея""",The Unfortunate Fairy Lodge
242326410,Рипмонт,Ripmont
242337485,Святилище Маэланксия,The Maelanxia Shrine
242338201,Усадьба Эшсли,The Ashsly Farmstead
242363447,Мертри,Mertry
242381333,Сторожевая Башня Гринсли,Greensley's Guard
242431370,Дом Барелиона,The House of Barelion
242434899,Раскопки Дунард,The Dunard Excavation
242523791,Крепость Раирч,The Fortress of Rairch
242550967,Дворец Лергем,Lergem Palace
242559869,"Паб ""Меч Дьявола""",The Devil's Sword Pub
242573596,"Хостел ""Лев и Дракон""",The Lion and Dragon Hostel
242598679,Дворец Кувом,Cuvom Palace
242605374,Особняк Гурне,Ghurne Manor
242690359,Руины Жилища Старого Мурке,Ruins of The Old Murchke Place
242719259,Руины Усадьбы Глож,Ruins of The Gloge Farmstead
243286585,Особняк Бакингсли,Buckingsly Manor
243289943,Ферма Старой Каролабит,Old Carolabyth's Farm
243313198,"Таверна ""Мышь и Кувшин""",The Mouse and Jug Tavern
243315894,Кладбище Гаеркрофт,The Gaercroft Graveyard
243346891,Усадьба Вудхаус,The Woodhouse Farmstead
243352243,Усадьба Хартсмит,The Hearthsmith Farmstead
243374990,Фруктовый Сад Кингтон,Kington Orchard
243386069,Кромвич Энд,Cromwich End
243386786,Замок Инверобор,Castle Inverobor
243412045,Старое Жилище Эшинг,The Old Ashing Place
243429918,Ванмор,Vanmore
243481940,Руины Сторожевой Башни Йеомсмит,Ruins of Yeomsmith's Guard
243483480,Руины Старой Лачуги Хокфорд,Ruins of The Old Hawkford Hovel
243572394,Ахухзар,Akhuhzar
243599546,Седоакат,Sedoakat
243608507,Укрытие Фена,Shelter of Phen
243622199,Вадиджойса,Wadijoisa
243647389,Нежный Мученик Аркея,Gentle Martyr of Arkay
243653957,Традиция Нетса,The Nhethsa Tradition
243738940,Руины Холла Дхерт,Ruins of Dherht Hall
244335820,"Сторожка ""Сурок Королевы""",The Queen's Woodchuck Lodge
244338521,Гробница Инверовона,Inverovon's Tomb
244361789,Рейтаун,Reytown
244365360,Жилище Старой Лысирри,Old Lysyrrya's Place
244395473,Усадьба Йеомстон,The Yeomston Farmstead
244400835,Руины Дворца Копперстон,Ruins of Copperston Palace
244423575,Стокпасс,Stokpath
244435367,Хижина Мастерстон,The Masterston Cabin
244435695,Вархоуп,Warhope
244460625,Фонтмот,Fontmoth
244479300,Холд Хокхэма,Hawkham's Hold
244532058,Ферма Старой Гвинолды,Old Gwynolda's Farm
244620973,Тасо-Ий,Taso-Ij
244648181,Особняк Блахт,Blarht Manor
244657120,"Таверна ""Несчастный Страж""",The Unfortunate Guard Tavern
244670793,Холд Раеркт,The Hold of Raerct
244696885,Сторожевая Башня Тердана,Terdan's Guard
244702540,Карьер Сахаса,The Pit of Sahas
244787524,Каменоломня Фэгтира,The Quarry of Faeghtir
245384418,Логово Даглата,The Lair of Daglath
245387101,Холд Вудфилд,The Hold of Woodfield
245410368,Извечная Реликвия Джулианоса,Perpetual Relic of Julianos
245413944,Кафгейт,Cathgate
245444064,Кроссхэм,Crossham
245449429,Усадьба Викфилд,The Wickfield Farmstead
245472167,Особняк Хокинг,Hawking Manor
245483959,Двор Мурхарт,Moorhart Court
245484283,Гробницы Йеомсмит,The Yeomsmith Tombs
245509216,Бесконечное Вознесение Мары,Infinite Ascencion of Mara
245527879,Руины Двора Виксмит,Ruins of Wicksmith Court
245580641,Холинг,Holing
245670455,Гисай-Хасси,Gysaj-Hassi
245697693,Сериларана,Cerilarana
245705703,Подземелье Малд,The Mald Vaults
245720256,"Паб ""Серебряная Птица""",The Silver Bird Pub
245745485,Нора Сахиамоты,The Hole of Sahiamotha
245751134,Благословенная Звезда Аркея,Blessed Star of Arkay
245836138,Нарелидай,Narelidai
246433092,Руины Лачуги Старой Эвелории,Ruins of Old Evelorya's Shack
246435693,Внутренний Провидец Мары,Inner Seer of Mara
246459860,"Таверна ""Золотой Грифон""",The Gold Griffin Tavern
246462525,Плантация Мастервинг,The Masterwing Plantation
246492694,Двор Хартслей,Hearthsley Court
246498013,Особняк Хокслей,Hawksley Manor
246520759,Особняк Вудфилд,Woodfield Manor
246532558,Рипкрофт,Ripcroft
246533809,Чарендейл Дерри,Charendale Derry
246557797,Тамтри,Tamtry
246576461,Монумент Мудреца,Sage Monument
246629220,Лощина Ипсварк,Ipswark Hollow
246719050,Могадакс,Mogadax
246746280,Нежный Пророк Стендарра,Gentle Prophet of Stendarr
246754293,Бербеан,Berbean
246768841,Внутренний Оракул Дибеллы,Inner Oracle of Dibella
246794067,Каменоломня Хазар,The Quarry of Khazar
246799718,"Сторожка ""Грязный Кувшин""",The Dirty Jug Lodge
246884751,Руины Лачуги Старого Тистка,Ruins of Old Tistka's Shack
247481674,Крепость Мастертон,The Fortress of Masterton
247484293,Фруктовый Сад Мастерхэм,Masterham Orchard
247508445,Холл Кингтон,Kington Hall
247511103,Вартон,Warton
247541280,Усадьба Эшсли,The Ashsly Farmstead
247546591,Бродвич Хилл,Broadwich Hill
247570296,Хибара Старой Исин,Old Ysyn's Hovel
247581137,Кладбище Гаеркрофт,The Gaercroft Graveyard
247582390,Двор Вудинг,Wooding Court
247606376,Амбар Мурсмит,Moorsmith Grange
247625046,Фруктовый Сад Мурхарт,Moorhart Orchard
